variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
jcps67,8.72E-65,0.001724038,0.023800512,0.02552455,0.007633641,0.208101778,0.215735419,0.006640133
jcps52,0,2.38E-05,0.000356725,0.000380479,0.007965523,0.049268066,0.057233589,0.881779906
jcps80,0,306.1691937,1458.999796,1765.168989,978.6762188,3174.621536,4153.297755,
jcps4,1.88E-173,0.005706389,1.951489762,1.957196151,0.012427168,0.214841791,0.202414624,8.31E-20
n24,1.89E-126,0.054322765,0.452409851,0.506732616,0.043587757,0.83813629,0.881724047,1.39E-98
f2441,2.72E-165,0.00619509,0.057497966,0.063693056,0.017325173,0.289752876,0.307078049,4.30E-12
f6251,2.82E-18,0.010057437,0.197864871,0.207922308,0.00743121,0.398389713,0.405820923,7.21E-17
jcps22,0,1717.854634,915.8420318,2633.696666,7439.028172,5607.555982,13046.58415,0
p22250,1.12E-49,160.397911,2334.77646,2495.174371,11926.2146,373782.9888,385709.2034,0.887930322
e03230,0.000146468,0.495883273,31.84055266,32.33643594,2.588279375,320.2530247,322.8413041,0.60697356
e11070,1.43E-234,16.09963427,121.8749201,137.9745543,31.83577609,443.5794716,475.4152477,1.42E-31
e12200,3.23E-51,4.452675923,72.17014908,76.62282501,31.72705919,978.4989487,1010.226008,0.135170897
e03240,5.74E-51,90.0331919,1370.437841,1460.471033,749.2763571,23168.05908,23917.33543,0.201981374
e30400,2.21E-32,296.3153905,6260.255754,6556.571145,586.3605465,23056.30735,23642.6679,2.30E-05
n30,1.21E-48,0.002902633,0.054879083,0.057781717,0.00787027,0.249406679,0.257276949,0.000132052
e04600,1.75E-27,319.5506258,6920.283031,7239.833657,101.2154452,4345.570181,4446.785626,8.06E-130
e11300,2.73E-44,0.260431471,4.763965563,5.024397034,8.430224512,280.7026533,289.1328778,0.760395239
e24570,3.26E-52,5.872701837,88.26374152,94.13644336,316.1347971,9651.576369,9967.711166,0.841683634
e87880,1.22E-125,0.164850923,1.792325194,1.627474271,1.170907295,23.73635712,22.56544982,0.017684983
e03270,3.77E-32,37.66616129,756.5929725,794.2591338,82.91771952,3272.927563,3355.845283,0.00014981
jcps31,0,76119.86389,20278.74962,96398.61351,168696.3932,45380.90283,214077.2961,
e10605,5.74E-47,5134.17672,86513.9263,91648.10302,13900.12572,448712.8587,462612.9844,0.000170439
jcps30,9.69E-76,109.9385285,2553.052874,2662.991402,247.7973677,6225.037535,6472.834903,7.58E-09
e19200,6.59E-51,432.052085,9183.79383,9615.845915,2151.16486,66556.33269,68707.49755,0.033056998
fded,6.62E-182,0.036652672,1.53371268,1.570365352,0.037875386,0.639658856,0.60178347,4.68E-86
jcps34,,0,0,0,0,0,0,
e52852,,0,0,0,0,0,0,
e26100,7.87E-33,85.95767816,1547.319691,1633.277369,367.2292501,14334.10755,14701.3368,0.048230777
jcps29,3.19E-222,8.027090823,159.8539168,167.8810076,96.74763614,1386.625405,1483.373041,0.06196259
jcps9,0,119387.7917,49313.24947,168701.0412,226920.5001,77201.8915,304122.3916,0
e05200,1.83E-45,5328.231507,89161.7005,94489.93201,14289.2091,469261.3047,483550.5138,0.000190394
jcps69,3.62E-109,0.002354292,0.026576006,0.028930298,0.010931244,0.226920717,0.237851962,0.000723806
t27800,8.44E-55,14.83329319,246.8896719,261.7229651,286.6079399,8530.495802,8817.103742,0.568288347
